year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2022,7,9E,Endeavor Air Inc.,CMH,"Columbus, OH: John Glenn Columbus International",31.00,5.00,2.01,0.00,2.99,0.00,0.00,0.00,0.00,349.00,164.00,0.00,185.00,0.00,0.00
2022,7,9E,Endeavor Air Inc.,CRW,"Charleston/Dunbar, WV: Yeager",65.00,15.00,4.90,0.01,7.88,0.00,2.20,0.00,1.00,1027.00,381.00,2.00,312.00,0.00,332.00
2022,7,9E,Endeavor Air Inc.,CSG,"Columbus, GA: Columbus Airport",87.00,12.00,7.06,0.26,2.44,0.00,2.24,0.00,0.00,611.00,431.00,9.00,66.00,0.00,105.00
2022,7,9E,Endeavor Air Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",555.00,96.00,27.94,2.58,31.23,0.00,34.25,33.00,0.00,7574.00,2371.00,168.00,2201.00,0.00,2834.00
2022,7,9E,Endeavor Air Inc.,CWA,"Mosinee, WI: Central Wisconsin",93.00,8.00,3.02,0.00,1.16,0.93,2.89,0.00,0.00,581.00,149.00,0.00,57.00,116.00,259.00
2022,7,9E,Endeavor Air Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",44.00,8.00,3.36,0.24,3.92,0.00,0.48,0.00,0.00,504.00,127.00,11.00,318.00,0.00,48.00
2022,7,9E,Endeavor Air Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",171.00,32.00,9.28,2.81,17.36,0.00,2.55,13.00,0.00,2403.00,1409.00,174.00,614.00,0.00,206.00
2022,7,9E,Endeavor Air Inc.,DHN,"Dothan, AL: Dothan Regional",87.00,21.00,8.49,2.13,1.04,0.00,9.34,0.00,0.00,2058.00,1121.00,88.00,49.00,0.00,800.00
2022,7,9E,Endeavor Air Inc.,DLH,"Duluth, MN: Duluth International",31.00,3.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,444.00,325.00,0.00,96.00,0.00,23.00
2022,7,9E,Endeavor Air Inc.,DSM,"Des Moines, IA: Des Moines International",202.00,32.00,15.42,0.00,6.25,0.00,10.33,2.00,0.00,2151.00,859.00,0.00,292.00,0.00,1000.00
2022,7,9E,Endeavor Air Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",1392.00,216.00,75.45,8.98,30.41,0.00,101.16,14.00,2.00,19985.00,9908.00,453.00,1128.00,0.00,8496.00
